edge_mode	model	subset	metric	mean	stddev
non_edge	GRASP	all_pixels_malignant	wash_in_slope_err	0.021388839218846455	0.014539574729615982
non_edge	GRASP	all_pixels_malignant	iauc10_err	9.166627039648633	3.7475209024989833
non_edge	GRASP	all_pixels_malignant	peak_err	2.1266394098599752	1.1103373709034279
non_edge	GRASP	all_pixels_malignant	ttpeak_err_sec	5.55718766684453	4.532045312345361
non_edge	GRASP	all_pixels_benign	curve_corr	0.9885464216708474	0.012043394038180274
non_edge	GRASP	all_pixels_benign	curve_mae	0.721920508146286	0.44541830892748124
non_edge	GRASP	all_pixels_benign	early_corr	0.9693638876859204	0.008803217437890008
non_edge	GRASP	all_pixels_benign	early_mae	0.7956495016813279	0.5098143459744741
non_edge	GRASP	all_pixels_benign	ttae_sec	4.515772754695208	3.9807683136197305
non_edge	GRASP	all_pixels_benign	wash_in_slope_err	0.01402940578672909	0.008993244769202643
non_edge	GRASP	all_pixels_benign	iauc10_err	3.912135353615084	2.3783178030195553
non_edge	GRASP	all_pixels_benign	peak_err	1.5633642375469208	0.9962883964397373
non_edge	GRASP	all_pixels_benign	ttpeak_err_sec	3.930552158643308	3.835025398481271
non_edge	GRASP	top20_malignant	curve_corr	0.9975565529831845	0.0026199698498294405
non_edge	GRASP	top20_malignant	curve_mae	1.5495598892370859	0.7907696788658999
non_edge	GRASP	top20_malignant	early_corr	0.9841275807499567	0.016532962331761686
non_edge	GRASP	top20_malignant	early_mae	1.7136675715446472	0.8675698569208022
non_edge	GRASP	top20_malignant	ttae_sec	1.3144521825301065	1.1149286148039654
non_edge	GRASP	top20_malignant	wash_in_slope_err	0.035546280438041186	0.04056644138510178
non_edge	GRASP	top20_malignant	iauc10_err	11.63779487129237	4.6887572974376726
non_edge	GRASP	top20_malignant	peak_err	2.790487599372864	1.3562838003253208
non_edge	GRASP	top20_malignant	ttpeak_err_sec	4.89234098474151	6.7353178003552285
non_edge	GRASP	top20_benign	curve_corr	0.9961660199301416	0.0012831225301018548
non_edge	GRASP	top20_benign	curve_mae	0.9258679211139679	0.6161001507902335
non_edge	GRASP	top20_benign	early_corr	0.9766154204350727	0.00835758075631669
non_edge	GRASP	top20_benign	early_mae	1.0008058428764344	0.6905106870120535
non_edge	GRASP	top20_benign	ttae_sec	1.7857743097238878	1.3035532843163145
non_edge	GRASP	top20_benign	wash_in_slope_err	0.01977640180489196	0.013041102747563791
non_edge	GRASP	top20_benign	iauc10_err	5.356513714189286	3.10546968391363
non_edge	GRASP	top20_benign	peak_err	2.069496190547943	1.3876125832361015
non_edge	GRASP	top20_benign	ttpeak_err_sec	2.783793517406962	3.0519499262566825
non_edge	GRASP	top10_malignant	curve_corr	0.9972054517434044	0.003782188406270617
non_edge	GRASP	top10_malignant	curve_mae	1.6264693280061087	0.812670308126934
non_edge	GRASP	top10_malignant	early_corr	0.9831733060525166	0.020170541411906433
non_edge	GRASP	top10_malignant	early_mae	1.8114935080210368	0.8939635422424269
non_edge	GRASP	top10_malignant	ttae_sec	1.3308460623366818	1.276682320002168
non_edge	GRASP	top10_malignant	wash_in_slope_err	0.04340678182770589	0.060561175653317124
non_edge	GRASP	top10_malignant	iauc10_err	12.423476868038438	4.5991199593198315
non_edge	GRASP	top10_malignant	peak_err	2.961156737804413	1.4119753246182618
non_edge	GRASP	top10_malignant	ttpeak_err_sec	5.477501131639298	8.622612890183603
non_edge	GRASP	top10_benign	curve_corr	0.996305089443922	0.001571487715126875
non_edge	GRASP	top10_benign	curve_mae	0.9413607001304627	0.6411872015158488
