comparison_group,comparison,method_a,method_b,exp_a,exp_b,spf,log_source_a,log_source_b,metric_family,metric,p_adj_bh,n_valid,n_nan,mean_a,mean_b,mean_diff,ci_low,ci_high,W_stat,p_raw,effect_r,direction
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,early_corr,0.0006103515625,15,10,0.9449189333333332,0.9790336666666667,-0.03411473333333348,-0.04783193735952336,-0.02039752930714331,2.0,0.00018310546875,0.9833333333333333,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,early_mae,0.012864332932692308,15,10,1.8560971333333331,1.3933567333333332,0.46274039999999994,0.15660545413368027,0.76887534586632,15.0,0.00836181640625,0.875,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,iauc10_err,0.00030517578125,15,10,17.44908686666667,9.166627,8.282459866666668,5.1609638355171725,11.403955897816164,0.0,6.103515625e-05,1.0,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,ttae_sec,0.00030517578125,15,10,9.06496686666667,2.0786497333333336,6.986317133333335,4.383847851641871,9.588786415024796,0.0,6.103515625e-05,1.0,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,temporal,wash_in_slope_err,0.7576069078947368,15,10,0.023086533333333333,0.02138886666666667,0.0016976666666666633,-0.0019304973547538927,0.0053258306880872245,53.0,0.7197265625,0.5583333333333333,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,mc,dc_mae,2.384185791015625e-07,25,0,0.59786912,0.61164936,-0.01378024,-0.016629407387656933,-0.01093107261234305,0.0,5.960464477539063e-08,1.0,a_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_8spf_sampling,GRASP,8,test_inference_logs_mri_journal_revised.json,—,mc,ssdu_nmse,3.178914388020833e-07,23,2,0.22498613043478263,0.49372773913043483,-0.2687416086956522,-0.2821225404424363,-0.25536067694886794,0.0,2.384185791015625e-07,1.0,a_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_16spf_sampling,GRASP,16,test_inference_logs_mri_journal_revised.json,—,spatial,ssim,7.152557373046875e-08,25,0,0.9000120399999999,0.9287486800000001,-0.028736640000000202,-0.03250803360980693,-0.02496524639019309,0.0,5.960464477539063e-08,1.0,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_16spf_sampling,GRASP,16,test_inference_logs_mri_journal_revised.json,—,spatial,psnr,7.152557373046875e-08,25,0,29.9410408,30.662048079999998,-0.7210072799999985,-0.8203280312249109,-0.62168652877509,0.0,5.960464477539063e-08,1.0,b_better
accel_sweep,SSDU_vs_GRASP,SSDU,GRASP,ssdu_16spf_sampling,GRASP,16,test_inference_logs_mri_journal_revised.json,—,spatial,lpips,7.152557373046875e-08,25,0,0.05111760000000001,0.031474840000000004,0.01964276000000001,0.01697753217266579,0.022307987827334213,0.0,5.960464477539063e-08,1.0,b_better
